LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
;;;;;;;;;;;;;000117. Transport lokal petugas pemeriksaan Bill of Quantity kabupaten/kota;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000118. Transport lokal petugas pemeriksaan Survei Harga Perdagangan Besar Mingguan;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000119. Transport lokal petugas pendataan lapangan Bill of Quantity kabupaten/kota;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000120. Transport lokal petugas pemeriksaan lapangan Survei Harga Konsumen Perdesaan (HKD);;;1.020.000;;0;;;;0;0;;0;;;0,00 %;;1.020.000;;;;
;;;;;;;;;;;;;000121. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Produsen Identifikasi Komoditas Utama;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;;;;;;;;;;000122. Transport lokal petugas pemeriksaan lapangan Survei Harga Produsen Perdesaan (HD);;;1.360.000;;0;;;;0;0;;0;;;0,00 %;;1.360.000;;;;
;;;;;;;;;;;;;000123. Transport lokal petugas pemeriksaan lapangan Survei Harga Produsen Sektor Industri Pengolahan dan Sektor Pertambangan dan Penggali;;;3.060.000;;0;;;;0;0;;0;;;0,00 %;;3.060.000;;;;
;;;;;;;;;;;;;000124. Transport lokal petugas pemeriksaan lapangan Survei Harga Produsen Sektor Jasa Gas (HPJ);;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000125. Transport lokal petugas pemeriksaan lapangan Survei Harga Produsen Sektor Pertanian (HPT);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000126. Transport lokal petugas pemeriksaan Survei Harga Kemahalan Konstruksi;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000127. Transport lokal petugas pemeriksaan Survei Harga Perdagangan Besar;;;680.000;;0;;;;0;0;;0;;;0,00 %;;680.000;;;;
;;;;051;;;;;PERSIAPAN;;;;;;;14.423.000;;0;;;;0;2.241.000;;2.241.000;;;15,54 %;;12.182.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;14.423.000;;0;;;;0;2.241.000;;2.241.000;;;15,54 %;;12.182.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;2.156.000;;0;;;;0;882.000;;882.000;;;40,91 %;;1.274.000;;;;
;;;;;;;;;;;;;000128. Konsumsi pelatihan petugas Survei Harga Perdagangan Besar;;;980.000;;0;;;;0;882.000;;882.000;;;90,00 %;;98.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000129. Konsumsi pelatihan survei harga kemahalan konstruksi;;;1.176.000;;0;;;;0;0;;0;;;0,00 %;;1.176.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;1.998.000;;0;;;;0;999.000;;999.000;;;50,00 %;;999.000;;;;
;;;;;;;;;;;;;000130. Honor pengajar pelatihan petugas survei harga kemahalan konstruksi;;;999.000;;0;;;;0;0;;0;;;0,00 %;;999.000;;;;
;;;;;;;;;;;;;000131. Honor pengajar pelatihan petugas Survei Harga Perdagangan Besar;;;999.000;;0;;;;0;999.000;;999.000;;;100,00 %;;0;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;7.889.000;;0;;;;0;0;;0;;;0,00 %;;7.889.000;;;;
;;;;;;;;;;;;;000134. Pencetakan Kuesioner Survei Harga Produsen 2027;;;2.973.000;;0;;;;0;0;;0;;;0,00 %;;2.973.000;;;;
;;;;;;;;;;;;;000135. pengadaan atk, kertas, dan bahan cetak kabupaten/kota;;;1.875.000;;0;;;;0;0;;0;;;0,00 %;;1.875.000;;;;
;;;;;;;;;;;;;000136. pengadaan komputer supplies kabupaten/kota;;;1.875.000;;0;;;;0;0;;0;;;0,00 %;;1.875.000;;;;
;;;;;;;;;;;;;000137. penggandaan daftar isian survei harga perdesaan;;;1.166.000;;0;;;;0;0;;0;;;0,00 %;;1.166.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;2.380.000;;0;;;;0;360.000;;360.000;;;15,13 %;;2.020.000;;;;
;;;;;;;;;;;;;000138. Transport Lokal pelatihan survei harga kemahalan konstruksi;;;1.360.000;;0;;;;0;0;;0;;;0,00 %;;1.360.000;;;;
;;;;;;;;;;;;;000139. Transport pelatihan petugas Survei Harga Perdagangan Besar;;;1.020.000;;0;;;;0;360.000;;360.000;;;35,29 %;;660.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;1.025.000;;0;;;;0;0;;0;;;0,00 %;;1.025.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;1.025.000;;0;;;;0;0;;0;;;0,00 %;;1.025.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;50.000;;0;;;;0;0;;0;;;0,00 %;;50.000;;;;
;;;;;;;;;;;;;000140. paket data Survei Harga Perdagangan Besar;;;50.000;;0;;;;0;0;;0;;;0,00 %;;50.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;975.000;;0;;;;0;0;;0;;;0,00 %;;975.000;;;;
;;;;;;;;;;;;;000141. Pengawasan lapangan Survei Harga Perdesaan dari Kab/Kota ke kecamatan;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000142. Pengawasan lapangan Survei Harga Produsen dari kabupaten/kota ke kecamatan;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000143. Pengawasan Survei Harga Perdagangan Besar dari kab/kota ke kecamatan;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;QMA;;;;Data dan Informasi Publik;;;;;;;;;;149.450.000;;0;;;;0;9.860.000;;9.860.000;;;6,60 %;;139.590.000;;;;
;;QMA.006;;;;;;;;PUBLIKASI/LAPORAN PENYUSUNAN INFLASI;;;;;;149.450.000;;0;;;;0;9.860.000;;9.860.000;;;6,60 %;;139.590.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;148.125.000;;0;;;;0;9.860.000;;9.860.000;;;6,66 %;;138.265.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;148.125.000;;0;;;;0;9.860.000;;9.860.000;;;6,66 %;;138.265.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;126.941.000;;0;;;;0;9.860.000;;9.860.000;;;7,77 %;;117.081.000;;;;
;;;;;;;;;;;;;000180. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.1 pasar);;;4.680.000;;0;;;;0;360.000;;360.000;;;7,69 %;;4.320.000;;;;
;;;;;;;;;;;;;000181. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 3 outlet);;;23.300.000;;0;;;;0;1.720.000;;1.720.000;;;7,38 %;;21.580.000;;;;
;;;;;;;;;;;;;000182. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 4);;;17.280.000;;0;;;;0;1.440.000;;1.440.000;;;8,33 %;;15.840.000;;;;
;;;;;;;;;;;;;000183. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 5);;;11.520.000;;0;;;;0;960.000;;960.000;;;8,33 %;;10.560.000;;;;
;;;;;;;;;;;;;000184. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 6);;;10.368.000;;0;;;;0;864.000;;864.000;;;8,33 %;;9.504.000;;;;
;;;;;;;;;;;;;000185. Honor petugas pendataan lapangan Survei Volume Penjualan Eceran Beras (SVPEB);;;1.830.000;;0;;;;0;0;;0;;;0,00 %;;1.830.000;;;;
;;;;;;;;;;;;;000186. Honor petugas pendataan lapangan Survei Volume Komoditas Spesifik (SVK);;;2.440.000;;0;;;;0;0;;0;;;0,00 %;;2.440.000;;;;
;;;;;;;;;;;;;000187. Honor petugas pendataan lapangan Listing Survei Volume Penjualan Eceran Beras (SVPEB);;;219.000;;0;;;;0;0;;0;;;0,00 %;;219.000;;;;
;;;;;;;;;;;;;000188. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.1 pasar);;;936.000;;0;;;;0;72.000;;72.000;;;7,69 %;;864.000;;;;
;;;;;;;;;;;;;000189. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.1 outlet);;;2.288.000;;0;;;;0;176.000;;176.000;;;7,69 %;;2.112.000;;;;
;;;;;;;;;;;;;000190. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.2 pasar);;;528.000;;0;;;;0;44.000;;44.000;;;8,33 %;;484.000;;;;
;;;;;;;;;;;;;000191. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.1 outlet);;;11.440.000;;0;;;;0;880.000;;880.000;;;7,69 %;;10.560.000;;;;
;;;;;;;;;;;;;000192. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 1.2 outlet);;;672.000;;0;;;;0;56.000;;56.000;;;8,33 %;;616.000;;;;
;;;;;;;;;;;;;000193. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.1 pasar);;;432.000;;0;;;;0;36.000;;36.000;;;8,33 %;;396.000;;;;
;;;;;;;;;;;;;000194. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.1 outlet);;;3.180.000;;0;;;;0;265.000;;265.000;;;8,33 %;;2.915.000;;;;
;;;;;;;;;;;;;000195. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.2 pasar);;;456.000;;0;;;;0;38.000;;38.000;;;8,33 %;;418.000;;;;
;;;;;;;;;;;;;000196. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 2.2 outlet);;;1.080.000;;0;;;;0;90.000;;90.000;;;8,33 %;;990.000;;;;
;;;;;;;;;;;;;000197. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 3 pasar);;;240.000;;0;;;;0;20.000;;20.000;;;8,33 %;;220.000;;;;
;;;;;;;;;;;;;000198. Honor petugas pengolahan lapangan Survei Harga Konsumen (HK 3 outlet);;;4.160.000;;0;;;;0;348.000;;348.000;;;8,37 %;;3.812.000;;;;
;;;;;;;;;;;;;000202. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 1.2 pasar);;;2.544.000;;0;;;;0;212.000;;212.000;;;8,33 %;;2.332.000;;;;
;;;;;;;;;;;;;000206. Honor petugas pendataan lapangan Survei Harga ;;;3.360.000;;0;;;;0;280.000;;280.000;;;8,33 %;;3.080.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Konsumen (HK 1.2 outlet);;;3.360.000;;0;;;;0;280.000;;;;;;;3.080.000;;;;
;;;;;;;;;;;;;000207. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.1 pasar);;;2.064.000;;0;;;;0;172.000;;172.000;;;8,33 %;;1.892.000;;;;
;;;;;;;;;;;;;000208. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.1 outlet);;;13.356.000;;0;;;;0;1.113.000;;1.113.000;;;8,33 %;;12.243.000;;;;
;;;;;;;;;;;;;000209. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.2 pasar);;;2.208.000;;0;;;;0;184.000;;184.000;;;8,33 %;;2.024.000;;;;
;;;;;;;;;;;;;000210. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 2.2 outlet);;;5.184.000;;0;;;;0;432.000;;432.000;;;8,33 %;;4.752.000;;;;
;;;;;;;;;;;;;000211. Honor petugas pendataan lapangan Survei Harga Konsumen (HK 3 pasar);;;1.176.000;;0;;;;0;98.000;;98.000;;;8,33 %;;1.078.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;21.184.000;;0;;;;0;0;;0;;;0,00 %;;21.184.000;;;;
;;;;;;;;;;;;;000212. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-1.1 pasar);;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;;;;;;;;;;000213. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-3 outlet);;;2.550.000;;0;;;;0;0;;0;;;0,00 %;;2.550.000;;;;
;;;;;;;;;;;;;000214. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-4);;;1.700.000;;0;;;;0;0;;0;;;0,00 %;;1.700.000;;;;
;;;;;;;;;;;;;000215. Transport Lokal petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-5);;;1.190.000;;0;;;;0;0;;0;;;0,00 %;;1.190.000;;;;
;;;;;;;;;;;;;000216. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-6);;;1.020.000;;0;;;;0;0;;0;;;0,00 %;;1.020.000;;;;
;;;;;;;;;;;;;000217. Transport Lokal Petugas Pemeriksaan Lapangan Survei Volume Penjualan Eceran Beras (SVPEB);;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000218. Transport Lokal Petugas Pemeriksaan Lapangan Survei Volume Komoditas Spesifik (SVK);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000219. Transport Lokal Petugas Pemeriksaan Lapangan Listing Survei Volume Penjualan Eceran Beras (SVPEB);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000220. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-1.1 outlet);;;1.190.000;;0;;;;0;0;;0;;;0,00 %;;1.190.000;;;;
;;;;;;;;;;;;;000221. Transport Lokal Petugas Pemeriksaan lapangan Survei Harga Konsumen (HK-1.2 pasar);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000222. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-1.2 outlet);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000223. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-2.1 pasar);;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000224. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-2.1 outlet);;;1.530.000;;0;;;;0;0;;0;;;0,00 %;;1.530.000;;;;
;;;;;;;;;;;;;000225. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-2.2 pasar);;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000226. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-2.2 outlet);;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000227. Transport Lokal Petugas Pemeriksaan Lapangan Survei Harga Konsumen (HK-3 pasar);;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000634. Transport lokal;;;9.114.000;;0;;;;0;0;;0;;;0,00 %;;9.114.000;;;;
;;;;051;;;;;PERSIAPAN;;;;;;;1.000.000;;0;;;;0;0;;0;;;0,00 %;;1.000.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;1.000.000;;0;;;;0;0;;0;;;0,00 %;;1.000.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;1.000.000;;0;;;;0;0;;0;;;0,00 %;;1.000.000;;;;
;;;;;;;;;;;;;000228. Pengadaan komputer supplies di kabupaten/kota;;;500.000;;0;;;;0;0;;0;;;0,00 %;;500.000;;;;
;;;;;;;;;;;;;000229. Pengadaan ATK di kabupaten/kota;;;500.000;;0;;;;0;0;;0;;;0,00 %;;500.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000230. Pengawasan Survei Harga Konsumen dari kabupaten/kota ke kecamatan;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;GG.2904;;;;;;;Penyediaan dan Pengembangan Statistik Industri, Pertambangan dan Penggalian, Energi, dan Konstruksi;;;;;;;;198.667.000;;13.958.000;;;;0;16.753.000;;16.753.000;;;8,43 %;;167.956.000;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;198.667.000;;13.958.000;;;;0;16.753.000;;16.753.000;;;8,43 %;;167.956.000;;;;
;;BMA.006;;;;;;;;PUBLIKASI/LAPORAN STATISTIK INDUSTRI, PERTAMBANGAN DAN PENGGALIAN, ENERGI, DAN KONSTRUKSI;;;;;;198.667.000;;13.958.000;;;;0;16.753.000;;16.753.000;;;8,43 %;;167.956.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;167.851.000;;0;;;;0;16.263.000;;16.263.000;;;9,69 %;;151.588.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;167.851.000;;0;;;;0;16.263.000;;16.263.000;;;9,69 %;;151.588.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;152.211.000;;0;;;;0;14.973.000;;14.973.000;;;9,84 %;;137.238.000;;;;
;;;;;;;;;;;;;000231. honor petugas pendataan lapangan listing survei imk tahunan;;;6.132.000;;0;;;;0;0;;0;;;0,00 %;;6.132.000;;;;
;;;;;;;;;;;;;000232. honor petugas pendataan lapangan survei perusahaan gas;;;91.000;;0;;;;0;0;;0;;;0,00 %;;91.000;;;;
;;;;;;;;;;;;;000233. honor petugas pendataan lapangan survei perusahaan konstruksi tahunan;;;1.575.000;;0;;;;0;0;;0;;;0,00 %;;1.575.000;;;;
;;;;;;;;;;;;;000234. honor petugas pendataan lapangan survei perusahaan konstruksi triwulanan;;;1.320.000;;0;;;;0;330.000;;330.000;;;25,00 %;;990.000;;;;
;;;;;;;;;;;;;000235. honor petugas pendataan lapangan survei perusahaan tahunan air bersih;;;53.000;;0;;;;0;0;;0;;;0,00 %;;53.000;;;;
;;;;;;;;;;;;;000236. honor petugas pendataan lapangan survei tahunan perusahaan industri manufaktur;;;58.422.000;;0;;;;0;0;;0;;;0,00 %;;58.422.000;;;;
;;;;;;;;;;;;;000237. honor petugas pendataan lapangan survei ;;;225.000;;0;;;;0;0;;0;;;0,00 %;;225.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;tahunan perusahaan penggalian bahan industri dan konstruksi;;;225.000;;0;;;;0;0;;;;;;;225.000;;;;
;;;;;;;;;;;;;000238. honor petugas pendataan lapangan survei tahunan usaha penggalian bahan industri dan konstruksi;;;1.452.000;;0;;;;0;0;;0;;;0,00 %;;1.452.000;;;;
;;;;;;;;;;;;;000239. honor petugas pendataan lapangan survei triwulanan perusahaan air bersih;;;176.000;;0;;;;0;0;;0;;;0,00 %;;176.000;;;;
;;;;;;;;;;;;;000240. honor petugas pendataan lapangan survei triwulanan perusahaan penggalian bahan industri dan konstruksi;;;528.000;;0;;;;0;0;;0;;;0,00 %;;528.000;;;;
;;;;;;;;;;;;;000241. honor petugas pendataan lapangan updating direktori perusahaan pertambangan dan energi;;;462.000;;0;;;;0;0;;0;;;0,00 %;;462.000;;;;
;;;;;;;;;;;;;000242. honor petugas pendataan lapangan listing survei imk triwulanan;;;2.628.000;;0;;;;0;0;;0;;;0,00 %;;2.628.000;;;;
;;;;;;;;;;;;;000243. honor petugas pengolahan lapangan survei komoditas perusahaan industri manufaktur;;;64.000;;0;;;;0;0;;0;;;0,00 %;;64.000;;;;
;;;;;;;;;;;;;000244. honor petugas pengolahan survei imk tahunan;;;2.585.000;;0;;;;0;0;;0;;;0,00 %;;2.585.000;;;;
;;;;;;;;;;;;;000246. honor petugas pengolahan survei perusahaan gas;;;19.000;;0;;;;0;0;;0;;;0,00 %;;19.000;;;;
;;;;;;;;;;;;;000247. honor petugas pengolahan survei perusahaan tahunan air bersih;;;11.000;;0;;;;0;0;;0;;;0,00 %;;11.000;;;;
;;;;;;;;;;;;;000248. honor petugas pengolahan survei tahunan perusahaan industri manufaktur;;;0;;0;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000249. honor petugas pengolahan survei tahunan perusahaan penggalian bahan industri dan konstruksi;;;45.000;;0;;;;0;0;;0;;;0,00 %;;45.000;;;;
;;;;;;;;;;;;;000250. honor petugas pengolahan survei triwulanan perusahaan air bersih;;;36.000;;0;;;;0;0;;0;;;0,00 %;;36.000;;;;
;;;;;;;;;;;;;000251. honor petugas pengolahan survei triwulanan perusahaan penggalian bahan industri dan konstruksi;;;112.000;;0;;;;0;0;;0;;;0,00 %;;112.000;;;;
;;;;;;;;;;;;;000252. honor petugas pendataan lapangan pemutakhiran direktori perusahaan awal (dpa);;;29.532.000;;0;;;;0;0;;0;;;0,00 %;;29.532.000;;;;
;;;;;;;;;;;;;000253. honor petugas pendataan lapangan survei captive power;;;1.320.000;;0;;;;0;0;;0;;;0,00 %;;1.320.000;;;;
;;;;;;;;;;;;;000254. honor petugas pendataan lapangan survei imk tahunan;;;12.455.000;;0;;;;0;0;;0;;;0,00 %;;12.455.000;;;;
;;;;;;;;;;;;;000255. honor petugas pendataan lapangan survei imk triwulanan;;;16.059.000;;0;;;;0;0;;0;;;0,00 %;;16.059.000;;;;
;;;;;;;;;;;;;000256. honor petugas pendataan lapangan survei imk triwulanan (vimk25 triwulan 4);;;4.293.000;;0;;;;0;4.293.000;;4.293.000;;;100,00 %;;0;;;;
;;;;;;;;;;;;;000258. honor petugas pendataan lapangan survei komoditas perusahaan industri manufaktur;;;316.000;;0;;;;0;0;;0;;;0,00 %;;316.000;;;;
;;;;;;;;;;;;;000635. honor petugas pendataan lapangan survei industri besar dan sedang (ibs) triwulanan;;;12.300.000;;0;;;;0;10.350.000;;10.350.000;;;84,15 %;;1.950.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;000636. honor petugas pengolahan survei industri besar dan sedang (ibs) triwulanan;;;0;;0;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;15.640.000;;0;;;;0;1.290.000;;1.290.000;;;8,25 %;;14.350.000;;;;
;;;;;;;;;;;;;000259. transport lokal petugas pemeriksaan lapangan listing survei imk tahunan;;;680.000;;0;;;;0;0;;0;;;0,00 %;;680.000;;;;
;;;;;;;;;;;;;000260. transport lokal petugas pemeriksaan lapangan survei perusahaan gas;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000261. transport lokal petugas pemeriksaan lapangan survei perusahaan konstruksi tahunan;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000262. transport lokal petugas pemeriksaan lapangan survei perusahaan konstruksi triwulanan;;;170.000;;0;;;;0;140.000;;140.000;;;82,35 %;;30.000;;;;
;;;;;;;;;;;;;000263. transport lokal petugas pemeriksaan lapangan survei tahunan perusahaan industri manufaktur;;;5.610.000;;0;;;;0;0;;0;;;0,00 %;;5.610.000;;;;
;;;;;;;;;;;;;000264. transport lokal petugas pemeriksaan lapangan survei tahunan perusahaan penggalian bahan industri dan konstruksi;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000265. transport lokal petugas pemeriksaan lapangan survei tahunan usaha penggalian bahan industri dan konstruksi;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000266. transport lokal petugas pemeriksaan lapangan survei triwulanan perusahaan air bersih;;;170.000;;0;;;;0;120.000;;120.000;;;70,59 %;;50.000;;;;
;;;;;;;;;;;;;000267. transport lokal petugas pemeriksaan lapangan survei triwulanan perusahaan penggalian bahan industri dan konstruksi;;;170.000;;0;;;;0;150.000;;150.000;;;88,24 %;;20.000;;;;
;;;;;;;;;;;;;000268. transport lokal petugas pemeriksaan lapangan updating direktori perusahaan pertambangan dan energi;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000269. transport lokal petugas pemeriksaan survei perusahaan tahunan air bersih;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000270. transport lokal petugas pemeriksaan lapangan listing survei imk triwulanan;;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000271. transport lokal petugas pemeriksaan lapangan pemutakhiran direktori perusahaan awal (dpa);;;2.890.000;;0;;;;0;0;;0;;;0,00 %;;2.890.000;;;;
;;;;;;;;;;;;;000272. transport lokal petugas pemeriksaan lapangan survei captive power;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
