LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
;;;;;;;;;;;;;000027. transport lokal inventarisasi data sekunder penyusunan pdrb tahunan;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000028. transport lokal inventarisasi data sekunder penyusunan pdrb triwulanan;;;850.000;;0;;;;0;0;;0;;;0,00 %;;850.000;;;;
;;;;;;;;;;;;;000029. Transport Lokal Pengumpulan Data Kab/Kota;;;1.190.000;;0;;;;500.000;0;;500.000;;;42,02 %;;690.000;;;;
;;;;;;;;;;;;;000030. transport lokal petugas pemeriksaan lapangan survei khusus neraca produksi (SKNP);;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000031. Transport lokal petugas pemeriksaan lapangan survei SKTNP barang;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000032. Transport lokal petugas pemeriksaan lapangan survei SKTNP Jasa;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;051;;;;;PERSIAPAN;;;;;;;7.942.000;;4.384.000;;;;0;0;;0;;;0,00 %;;3.558.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;7.942.000;;4.384.000;;;;0;0;;0;;;0,00 %;;3.558.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;1.100.000;;0;;;;0;0;;0;;;0,00 %;;1.100.000;;;;
;;;;;;;;;;;;;000033. Biaya paket daya pelatihan petugas;;;550.000;;0;;;;0;0;;0;;;0,00 %;;550.000;;;;
;;;;;;;;;;;;;000034. perlengkapan pelatihan petugas survei-survei di neraca produksi;;;550.000;;0;;;;0;0;;0;;;0,00 %;;550.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;1.998.000;;0;;;;0;0;;0;;;0,00 %;;1.998.000;;;;
;;;;;;;;;;;;;000035. honor pengajar petugas;;;1.998.000;;0;;;;0;0;;0;;;0,00 %;;1.998.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;460.000;;0;;;;0;0;;0;;;0,00 %;;460.000;;;;
;;;;;;;;;;;;;000036. Pengadaan atk, kertas, dan bahan cetak di Kab/Kota;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;;;;;;;;;;000037. pengadaan komputer supplies di kab/kota;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;;;;;;;;;;000038. Penggandaan Kuesioner dan Buku Pedoman pelatihan petugas SKNP;;;210.000;;0;;;;0;0;;0;;;0,00 %;;210.000;;;;
;;;;;;;522151;;;;;Belanja Jasa Profesi;;;;900.000;;900.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000039. Honor narasumber pejabat eselon III/yang disetarakan di kabkota;;;900.000;;900.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;524114;;;;;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;;;;3.484.000;;3.484.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000040. Paket meeting fullday penyelenggaraan pelatihan petugas survei-survei di neraca produksi;;;1.274.000;;1.274.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;;;;;;;;;;000041. Perjalanan fullday pelatihan petugas survei-survei di neraca produksi;;;2.210.000;;2.210.000;;;;0;0;;0;;;0,00 %;;0;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;675.000;;0;;;;0;0;;0;;;0,00 %;;675.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;675.000;;0;;;;0;0;;0;;;0,00 %;;675.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;350.000;;0;;;;0;0;;0;;;0,00 %;;350.000;;;;
;;;;;;;;;;;;;000042. Paket data pendataan SKNP;;;200.000;;0;;;;0;0;;0;;;0,00 %;;200.000;;;;
;;;;;;;;;;;;;000043. Paket data petugas dan pemeriksa SKTNP Barang;;;150.000;;0;;;;0;0;;0;;;0,00 %;;150.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000044. Perjalanan dinas supervisi survei khusus neraca produksi dari kab/kota ke kecamatan;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;GG.2900;;;;;;;Pengembangan Metodologi Sensus dan Survei;;;;;;;;1.085.000;;0;;;;0;0;;0;;;0,00 %;;1.085.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;1.085.000;;0;;;;0;0;;0;;;0,00 %;;1.085.000;;;;
;;BMA.005;;;;;;;;Dokumen/Laporan Pengembangan Metodologi Kegiatan Statistik;;;;;;1.085.000;;0;;;;0;0;;0;;;0,00 %;;1.085.000;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;;;;;;;;;;000045. transport lokal profiling sbr kabkot;;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;051;;;;;PERSIAPAN;;;;;;;250.000;;0;;;;0;0;;0;;;0,00 %;;250.000;;;;
;;;;;051.0A;;;;;;TANPA SUB KOMPONEN;;;;;250.000;;0;;;;0;0;;0;;;0,00 %;;250.000;;;;
;;;;;;;521811;;;;;Belanja Barang Persediaan Barang Konsumsi;;;;250.000;;0;;;;0;0;;0;;;0,00 %;;250.000;;;;
;;;;;;;;;;;;;000046. pengadaan atk kabkot;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;;;;;;;;;;000047. pengadaan komputer supplies kabkot;;;125.000;;0;;;;0;0;;0;;;0,00 %;;125.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;;;;;;;;;;;;;000048. Perjalanan dinas dalam rangka supervisi kegiatan metodologi kegiatan statistik kabkot ke kec;;;325.000;;0;;;;0;0;;0;;;0,00 %;;325.000;;;;
;GG.2901;;;;;;;Pengembangan Sistem Informasi Statistik;;;;;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;CAN;;;;Sarana Bidang Teknologi Informasi dan Komunikasi;;;;;;;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;CAN.004;;;;;;;;Pengembangan Infrastruktur dan Layanan Teknologi Informasi dan Komunikasi;;;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;;;056;;;;;Pengembangan Infrastruktur dan Layanan Teknologi Informasi dan Komunikasi;;;;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;;;;056.0A;;;;;;TANPA SUB KOMPONEN;;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;;;;;;523121;;;;;Belanja Pemeliharaan Peralatan dan Mesin;;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;;;;;;;;;;;;;000049. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota;;;7.945.000;;0;;;;0;0;;0;;;0,00 %;;7.945.000;;;;
;GG.2902;;;;;;;Penyediaan dan Pengembangan Statistik Distribusi;;;;;;;;5.099.775.000;;4.409.516.000;;;;0;4.820.894;;4.820.894;;;0,09 %;;685.438.106;;;;
;;BMA;;;;Data dan Informasi Publik;;;;;;;;;;5.099.775.000;;4.409.516.000;;;;0;4.820.894;;4.820.894;;;0,09 %;;685.438.106;;;;
;;BMA.004;;;;;;;;PUBLIKASI/LAPORAN STATISTIK DISTRIBUSI;;;;;;2.740.000;;0;;;;0;240.000;;240.000;;;8,76 %;;2.500.000;;;;
;"*Lock Pagu adalah jumlah pagu yang sedang dalam proses usulan revisi DIPA atau POK. Lock pagu akan hilang setelah usulan revisi DIPA/POK selesai menjadi DIPA.
*SPM Koreksi dalam proses akan masuk sebagai realisasi akhir";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;2.640.000;;0;;;;0;240.000;;240.000;;;9,09 %;;2.400.000;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;2.640.000;;0;;;;0;240.000;;240.000;;;9,09 %;;2.400.000;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;770.000;;0;;;;0;0;;0;;;0,00 %;;770.000;;;;
